x,t=5.00e-02s,t=1.00e+00s,t=1.00e+01s,t=1.00e+02s
6.532663316582914582e-03,1.458156869148221210e-62,1.458156869148221210e-62,1.458156869148221210e-62,1.458156869148221210e-62
6.582914572864321558e-03,-3.907100708126321456e-63,-3.907100708126321456e-63,-3.907100708126321456e-63,-3.907100708126321456e-63
6.633165829145728533e-03,1.046899429439198193e-63,1.046899429439198193e-63,1.046899429439198193e-63,1.046899429439198193e-63
6.683417085427135508e-03,-2.805145035244594094e-64,-2.805145035244594094e-64,-2.805145035244594094e-64,-2.805145035244594094e-64
6.733668341708542483e-03,7.516327211079446213e-65,7.516327211079446213e-65,7.516327211079446213e-65,7.516327211079446213e-65
6.783919597989949458e-03,-2.013984091167922349e-65,-2.013984091167922349e-65,-2.013984091167922349e-65,-2.013984091167922349e-65
6.834170854271357301e-03,5.396428076599169135e-66,5.396428076599169135e-66,5.396428076599169135e-66,5.396428076599169135e-66
6.884422110552764276e-03,-1.445961570084689972e-66,-1.445961570084689972e-66,-1.445961570084689972e-66,-1.445961570084689972e-66
6.934673366834171251e-03,3.874423660399097031e-67,3.874423660399097031e-67,3.874423660399097031e-67,3.874423660399097031e-67
6.984924623115578227e-03,-1.038143683125765310e-67,-1.038143683125765310e-67,-1.038143683125765310e-67,-1.038143683125765310e-67
7.035175879396985202e-03,2.781684196877202587e-68,2.781684196877202587e-68,2.781684196877202587e-68,2.781684196877202587e-68
7.085427135678392177e-03,-7.453464387375150499e-69,-7.453464387375150499e-69,-7.453464387375150499e-69,-7.453464387375150499e-69
7.135678391959799152e-03,1.997140129574603501e-69,1.997140129574603501e-69,1.997140129574603501e-69,1.997140129574603501e-69
7.185929648241206127e-03,-5.351295035249908605e-70,-5.351295035249908605e-70,-5.351295035249908605e-70,-5.351295035249908605e-70
7.236180904522613103e-03,1.433868266439067926e-70,1.433868266439067926e-70,1.433868266439067926e-70,1.433868266439067926e-70
7.286432160804020078e-03,-3.842019907252156549e-71,-3.842019907252156549e-71,-3.842019907252156549e-71,-3.842019907252156549e-71
7.336683417085427053e-03,1.029461165521173368e-71,1.029461165521173368e-71,1.029461165521173368e-71,1.029461165521173368e-71
7.386934673366834028e-03,-2.758419573297273014e-72,-2.758419573297273014e-72,-2.758419573297273014e-72,-2.758419573297273014e-72
7.437185929648241003e-03,7.391127317073150499e-73,7.391127317073150499e-73,7.391127317073150499e-73,7.391127317073150499e-73
7.487437185929647979e-03,-1.980437042501266931e-73,-1.980437042501266931e-73,-1.980437042501266931e-73,-1.980437042501266931e-73
7.537688442211055821e-03,5.306539464218522758e-74,5.306539464218522758e-74,5.306539464218522758e-74,5.306539464218522758e-74
7.587939698492462796e-03,-1.421876105172394965e-74,-1.421876105172394965e-74,-1.421876105172394965e-74,-1.421876105172394965e-74
7.638190954773869772e-03,3.809887162985517028e-75,3.809887162985517028e-75,3.809887162985517028e-75,3.809887162985517028e-75
7.688442211055276747e-03,-1.020851264176912213e-75,-1.020851264176912213e-75,-1.020851264176912213e-75,-1.020851264176912213e-75
7.738693467336683722e-03,2.735349523461888232e-76,2.735349523461888232e-76,2.735349523461888232e-76,2.735349523461888232e-76
7.788944723618090697e-03,-7.329311603033465704e-77,-7.329311603033465704e-77,-7.329311603033465704e-77,-7.329311603033465704e-77
7.839195979899496805e-03,1.963873651743499584e-77,1.963873651743499584e-77,1.963873651743499584e-77,1.963873651743499584e-77
7.889447236180905515e-03,-5.262158206530941726e-78,-5.262158206530941726e-78,-5.262158206530941726e-78,-5.262158206530941726e-78
7.939698492462312490e-03,1.409984240380098705e-78,1.409984240380098705e-78,1.409984240380098705e-78,1.409984240380098705e-78
7.989949748743719465e-03,-3.778023161015643402e-79,-3.778023161015643402e-79,-3.778023161015643402e-79,-3.778023161015643402e-79
8.040201005025126441e-03,1.012313371766683598e-79,1.012313371766683598e-79,1.012313371766683598e-79,1.012313371766683598e-79
8.090452261306533416e-03,-2.712472420052980706e-80,-2.712472420052980706e-80,-2.712472420052980706e-80,-2.712472420052980706e-80
8.140703517587940391e-03,7.268012884891361550e-81,7.268012884891361550e-81,7.268012884891361550e-81,7.268012884891361550e-81
8.190954773869347366e-03,-1.947448788950822810e-81,-1.947448788950822810e-81,-1.947448788950822810e-81,-1.947448788950822810e-81
8.241206030150754341e-03,5.218148131616465909e-82,5.218148131616465909e-82,5.218148131616465909e-82,5.218148131616465909e-82
8.291457286432161317e-03,-1.398191833232335335e-82,-1.398191833232335335e-82,-1.398191833232335335e-82,-1.398191833232335335e-82
8.341708542713568292e-03,3.746425653715586032e-83,3.746425653715586032e-83,3.746425653715586032e-83,3.746425653715586032e-83
8.391959798994975267e-03,-1.003846886043566498e-83,-1.003846886043566498e-83,-1.003846886043566498e-83,-1.003846886043566498e-83
8.442211055276382242e-03,2.689786649362578508e-84,2.689786649362578508e-84,2.689786649362578508e-84,2.689786649362578508e-84
8.492462311557789217e-03,-7.207226838750360813e-85,-7.207226838750360813e-85,-7.207226838750360813e-85,-7.207226838750360813e-85
8.542713567839196193e-03,1.931161295544134051e-85,1.931161295544134051e-85,1.931161295544134051e-85,1.931161295544134051e-85
8.592964824120603168e-03,-5.174506135086936537e-86,-5.174506135086936537e-86,-5.174506135086936537e-86,-5.174506135086936537e-86
8.643216080402010143e-03,1.386498051914816465e-86,1.386498051914816465e-86,1.386498051914816465e-86,1.386498051914816465e-86
8.693467336683417118e-03,-3.715092412256426642e-87,-3.715092412256426642e-87,-3.715092412256426642e-87,-3.715092412256426642e-87
8.743718592964824093e-03,9.954512097975338537e-88,9.954512097975338537e-88,9.954512097975338537e-88,9.954512097975338537e-88
8.793969849246231069e-03,-2.667290611178952708e-88,-2.667290611178952708e-88,-2.667290611178952708e-88,-2.667290611178952708e-88
8.844221105527638044e-03,7.146949176876694658e-89,7.146949176876694658e-89,7.146949176876694658e-89,7.146949176876694658e-89
8.894472361809045019e-03,-1.915010022634218653e-89,-1.915010022634218653e-89,-1.915010022634218653e-89,-1.915010022634218653e-89
8.944723618090451994e-03,5.131229138517743648e-90,5.131229138517743648e-90,5.131229138517743648e-90,5.131229138517743648e-90
8.994974874371858969e-03,-1.374902071570133749e-90,-1.374902071570133749e-90,-1.374902071570133749e-90,-1.374902071570133749e-90
9.045226130653265945e-03,3.684021226450064495e-91,3.684021226450064495e-91,3.684021226450064495e-91,3.684021226450064495e-91
9.095477386934672920e-03,-9.871257508133247949e-92,-9.871257508133247949e-92,-9.871257508133247949e-92,-9.871257508133247949e-92
9.145728643216079895e-03,2.644982718673752063e-92,2.644982718673752063e-92,2.644982718673752063e-92,2.644982718673752063e-92
9.195979899497486870e-03,-7.087175647397110721e-93,-7.087175647397110721e-93,-7.087175647397110721e-93,-7.087175647397110721e-93
9.246231155778893845e-03,1.898993830940541990e-93,1.898993830940541990e-93,1.898993830940541990e-93,1.898993830940541990e-93
9.296482412060302555e-03,-5.088314089230704008e-94,-5.088314089230704008e-94,-5.088314089230704008e-94,-5.088314089230704008e-94
9.346733668341709531e-03,1.363403074239577338e-94,1.363403074239577338e-94,1.363403074239577338e-94,1.363403074239577338e-94
9.396984924623116506e-03,-3.653209904593310978e-95,-3.653209904593310978e-95,-3.653209904593310978e-95,-3.653209904593310978e-95
9.447236180904523481e-03,9.788699218286732135e-96,9.788699218286732135e-96,9.788699218286732135e-96,9.788699218286732135e-96
9.497487437185930456e-03,-2.622861398290063990e-96,-2.622861398290063990e-96,-2.622861398290063990e-96,-2.622861398290063990e-96
9.547738693467337431e-03,7.027902033998917852e-97,7.027902033998917852e-97,7.027902033998917852e-97,7.027902033998917852e-97
9.597989949748744407e-03,-1.883111590710986721e-97,-1.883111590710986721e-97,-1.883111590710986721e-97,-1.883111590710986721e-97
9.648241206030151382e-03,5.045757960075935169e-98,5.045757960075935169e-98,5.045757960075935169e-98,5.045757960075935169e-98
9.698492462311558357e-03,-1.352000248795122828e-98,-1.352000248795122828e-98,-1.352000248795122828e-98,-1.352000248795122828e-98
9.748743718592965332e-03,3.622656272928408059e-99,3.622656272928408059e-99,3.622656272928408059e-99,3.622656272928408059e-99
9.798994974874372307e-03,-9.706831390564396753e-100,-9.706831390564396753e-100,-9.706831390564396753e-100,-9.706831390564396753e-100
9.849246231155779283e-03,2.600925036022364498e-100,2.600925036022364498e-100,2.600925036022364498e-100,2.600925036022364498e-100
9.899497487437186258e-03,-6.969122154905305680e-101,-6.969122154905305680e-101,-6.969122154905305680e-101,-6.969122154905305680e-101
